"Subject_Id","Group_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"5564","obs_av","OBS","AV","swerve","stay","carsac","4v1","australia","10+","50-59","no","3","female","ped"
"5564","obs_av","OBS","AV","stay","stay","carsac","2v1","australia","10+","50-59","no","3","female","ped"
"5564","obs_av","OBS","AV","stay","stay","carsac","1v1","australia","10+","50-59","no","3","female","ped"
"5564","obs_av","OBS","AV","swerve","stay","sidewalk","3v1","australia","10+","50-59","no","3","female","ped"
"5564","obs_av","OBS","AV","swerve","swerve","road","2v1","australia","10+","50-59","no","3","female","ped"
"5564","obs_av","OBS","AV","swerve","stay","sidewalk","4v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","swerve","swerve","sidewalk","3v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","swerve","swerve","sidewalk","1v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","stay","swerve","road","4v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","swerve","swerve","sidewalk","2v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","stay","swerve","road","3v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","stay","swerve","sidewalk","4v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","stay","swerve","road","2v1","australia","10+","50-59","no","3","female","ped"
"5864","ped_side_av","PED_SIDE","AV","swerve","swerve","road","1v1","australia","10+","50-59","no","3","female","ped"
"5928","obs_h","OBS","HUMAN","swerve","swerve","road","3v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","stay","swerve","sidewalk","2v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","swerve","swerve","carsac","3v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","swerve","stay","sidewalk","1v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","stay","swerve","road","4v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","stay","swerve","carsac","4v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","stay","swerve","road","2v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","swerve","swerve","carsac","2v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","stay","swerve","sidewalk","4v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","swerve","swerve","road","1v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","swerve","swerve","carsac","1v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","OBS","HUMAN","stay","swerve","sidewalk","3v1","germany","10+","18-29","yes","2","female","car"
"5928","obs_h","","","","","","","germany","10+","18-29","yes","2","female","car"
"5635","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","carsac","1v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","stay","stay","sidewalk","2v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","swerve","stay","sidewalk","1v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","stay","swerve","carsac","2v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","stay","swerve","carsac","4v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","swerve","stay","road","2v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","swerve","stay","road","3v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","stay","swerve","sidewalk","4v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","stay","stay","sidewalk","3v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","stay","stay","road","1v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","road","4v1","switzerland","10+","60-69","yes","4","male","ped"
"5635","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","carsac","3v1","switzerland","10+","60-69","yes","4","male","ped"
"5804","car_h","CAR","HUMAN","stay","swerve","carsac","1v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","stay","swerve","road","3v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","stay","stay","sidewalk","3v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","swerve","stay","sidewalk","2v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","swerve","swerve","road","4v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","stay","swerve","sidewalk","4v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","swerve","swerve","carsac","2v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","swerve","swerve","carsac","4v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","swerve","swerve","road","2v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","swerve","stay","sidewalk","1v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","stay","swerve","carsac","3v1","germany","5","18-29","yes","2","female","car"
"5804","car_h","CAR","HUMAN","stay","swerve","road","1v1","germany","5","18-29","yes","2","female","car"
"5567","ped_main_h","PED_MAIN","HUMAN","stay","swerve","road","3v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","carsac","3v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","sidewalk","3v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","stay","swerve","carsac","2v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","carsac","4v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","stay","swerve","carsac","1v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","road","4v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","sidewalk","2v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","stay","swerve","road","2v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","stay","swerve","road","1v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","swerve","swerve","sidewalk","4v1","finland","10+","60-69","yes","4","male","ped"
"5567","ped_main_h","PED_MAIN","HUMAN","stay","swerve","sidewalk","1v1","finland","10+","60-69","yes","4","male","ped"
"5433","ped_side_av","PED_SIDE","AV","swerve","swerve","road","3v1","usa","10+","50-59","yes","1","male","ped"
