"","Participant ID","Gender","AV/Car","Perspective","Scenario","Number of Children","Number of Adults 1","Number of Adults 2","Left First?","Selected Option","Difficulty of decision","Response time 1","Response time 2"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.430","680429315","False","False","0","0","1","1","3","True","Rechts","0","15.73224","1.826538"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.431","680429315","False","False","0","1","0","2","4","False","Links","27","13.40875","2.575317"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.432","680429315","False","False","0","1","0","1","2","True","Links","24","2.778076","1.712097"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.433","757422370","True","True","2","0","0","1","5","False","Rechts","0","14.53339","6.532883"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.434","757422370","True","True","2","0","0","0","1","True","Links","100","5.462051","4.836472"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.435","757422370","True","True","2","2","0","2","0","False","Rechts","100","11.31067","4.774231"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.436","757422370","True","True","2","3","0","2","0","True","Links","50","9.828735","7.182953"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.437","757422370","True","True","2","1","0","2","4","False","Links","0","7.777771","3.648865"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.438","757422370","True","True","2","0","1","1","3","True","Links","0","6.568542","15.86017"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.439","757422370","True","True","2","1","0","1","2","False","Links","0","3.576355","1.639709"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.440","757422370","True","True","2","0","2","1","5","True","Rechts","0","2.131958","2.190979"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.441","651781919","True","True","0","0","0","1","5","True","Links","28","26.99091","7.780823"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.442","651781919","True","True","0","0","0","0","1","False","Links","100","8.726929","2.934265"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.443","651781919","True","True","0","3","0","2","0","True","Rechts","50","3.005554","3.227173"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.444","651781919","True","True","0","0","1","1","3","False","Rechts","0","5.864197","2.256104"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.445","651781919","True","True","0","2","0","2","0","True","Rechts","0","8.643921","2.000549"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.446","651781919","True","True","0","1","0","2","4","False","Links","18","9.756836","1.792603"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.447","651781919","True","True","0","1","0","1","2","True","Links","24","4.471375","1.973633"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.448","651781919","True","True","0","0","2","1","5","False","Links","0","7.782959","1.633118"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.449","20358711","False","True","0","0","0","1","5","False","Links","35","29.14681","14.31579"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.450","20358711","False","True","0","0","0","0","1","True","Links","100","7.591476","9.040344"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.451","20358711","False","True","0","3","0","2","0","False","Rechts","85","8.59079","7.013458"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.452","20358711","False","True","0","1","0","2","4","True","Rechts","30","24.21744","2.858124"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.453","20358711","False","True","0","2","0","2","0","False","Rechts","83","7.795593","9.373291"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.454","20358711","False","True","0","1","0","1","2","True","Rechts","58","2.650452","14.50623"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.455","20358711","False","True","0","0","1","1","3","False","Rechts","65","1.426636","1.857239"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.456","20358711","False","True","0","0","2","1","5","True","Rechts","63","2.154358","9.388794"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.457","656129605","False","False","0","0","0","1","5","False","Rechts","88","10.60713","3.991867"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.458","656129605","False","False","0","0","0","0","1","True","Rechts","100","2.667496","2.157715"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.459","656129605","False","False","0","3","0","2","0","False","Rechts","83","5.892059","7.891388"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.460","656129605","False","False","0","1","0","1","2","True","Links","65","2.534576","7.406616"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.461","656129605","False","False","0","0","1","1","3","False","Rechts","15","14.82434","5.0401"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.462","656129605","False","False","0","2","0","2","0","True","Rechts","0","35.85257","1.600403"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.463","656129605","False","False","0","1","0","2","4","False","Links","27","31.8349","2.277649"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.464","656129605","False","False","0","0","2","1","5","True","Links","21","6.113831","2.262207"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.465","442591096","False","False","1","0","0","1","5","False","Rechts","91","6.02375","11.26701"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.466","442591096","False","False","1","0","0","0","1","True","Links","100","6.40686","7.722305"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.467","442591096","False","False","1","2","0","2","0","False","Links","61","6.21048","13.85107"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.468","442591096","False","False","1","1","0","2","4","True","Rechts","58","8.550995","6.516937"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.469","442591096","False","False","1","3","0","2","0","False","Rechts","0","20.78671","1.909698"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.470","442591096","False","False","1","0","1","1","3","True","Rechts","17","4.271912","3.926575"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.471","442591096","False","False","1","1","0","1","2","False","Rechts","86","1.796631","4.459106"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.472","442591096","False","False","1","0","2","1","5","True","Rechts","0","16.99524","1.948242"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.473","859030904","True","False","2","0","0","1","5","True","Links","30","14.39292","7.645172"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.474","859030904","True","False","2","0","0","0","1","False","Links","63","5.388885","2.429977"
