"Subject_Id","Group_Name","Task_Name","PERSP","DRIVER_TYPE","first_vid","response","scenario","ratio","country","driving_experience","age_group","knowledge_of_av","better_place","gender","identify"
"3802","ped_side_av","ped_side_av_exp_trials","PED_SIDE","AV","swerve","swerve","sidewalk","3v1","","","","","","",""
"3802","ped_side_av","ped_side_av_exp_trials","PED_SIDE","AV","stay","swerve","road","1v1","","","","","","",""
"3802","ped_side_av","ped_side_av_exp_trials","PED_SIDE","AV","swerve","swerve","sidewalk","1v1","","","","","","",""
"3802","ped_side_av","ped_side_av_exp_trials","PED_SIDE","AV","stay","swerve","sidewalk","4v1","","","","","","",""
"3802","ped_side_av","quesionnaire_av","PED_SIDE","AV","","","","","netherlands","10+","30-39","yes","5","male","ped"
"3817","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","sidewalk","3v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","swerve","stay","sidewalk","1v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","stay","stay","road","1v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","stay","stay","carsac","3v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","road","3v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","road","2v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","carsac","1v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","swerve","stay","carsac","2v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","stay","stay","road","4v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","sidewalk","2v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","sidewalk","4v1","","","","","","",""
"3817","obs_av","obs_av_exp_trials","OBS","AV","swerve","stay","carsac","4v1","","","","","","",""
"3817","obs_av","quesionnaire_av","OBS","AV","","","","","germany","6-10","18-29","yes","2","female","ped"
"3819","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","carsac","1v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","road","3v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","stay","stay","road","1v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","swerve","stay","sidewalk","1v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","road","4v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","sidewalk","2v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","carsac","4v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","road","2v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","swerve","swerve","carsac","2v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","sidewalk","4v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","carsac","3v1","","","","","","",""
"3819","obs_av","obs_av_exp_trials","OBS","AV","stay","swerve","sidewalk","3v1","","","","","","",""
"3819","obs_av","quesionnaire_av","OBS","AV","","","","","germany","0","18-29","yes","2","female","ped"
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","swerve","sidewalk","4v1","","","","","","",""
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","swerve","road","2v1","","","","","","",""
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","swerve","sidewalk","2v1","","","","","","",""
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","stay","road","1v1","","","","","","",""
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","stay","swerve","road","4v1","","","","","","",""
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","stay","sidewalk","1v1","","","","","","",""
"3827","ped_side_h","ped_side_h_exp_trials","PED_SIDE","HUMAN","swerve","swerve","sidewalk","3v1","","","","","","",""
